Energy_keV,Ru_C_Reflectivity,W_B4C_Reflectivity
7.460600375234522,1e-08,1e-08
7.51031894934334,1e-08,1e-08
7.5600375234521575,1e-08,1e-08
7.609756097560975,1e-08,1e-08
7.659474671669794,1e-08,1e-08
7.709193245778612,1e-08,1e-08
7.758911819887429,1e-08,1e-08
7.808630393996248,1e-08,1e-08
7.858348968105066,1e-08,1e-08
7.9080675422138835,1e-08,1e-08
7.957786116322702,1e-08,1e-08
8.00750469043152,1e-08,1e-08
8.057223264540337,1e-08,1e-08
8.106941838649156,1e-08,1e-08
8.156660412757974,1e-08,1e-08
8.206378986866792,1e-08,1e-08
8.25609756097561,1e-08,1e-08
8.305816135084427,1e-08,1e-08
8.355534709193247,1e-08,1e-08
8.405253283302063,1e-08,1e-08
8.454971857410882,1e-08,1e-08
8.5046904315197,1e-08,1e-08
8.554409005628518,1e-08,1e-08
8.604127579737336,1e-08,1e-08
8.653846153846153,1e-08,1e-08
8.703564727954971,1e-08,1e-08
8.75328330206379,1e-08,1e-08
8.803001876172608,1e-08,1e-08
8.852720450281426,1e-08,1e-08
8.902439024390244,1e-08,1e-08
8.952157598499062,1e-08,1e-08
9.00187617260788,1e-08,1e-08
9.051594746716699,1e-08,1e-08
9.101313320825517,1e-08,1e-08
9.151031894934334,1e-08,1e-08
9.200750469043152,1e-08,1e-08
9.25046904315197,1e-08,1e-08
9.300187617260788,1e-08,1e-08
9.349906191369605,1e-08,1e-08
9.399624765478425,1e-08,1e-08
9.449343339587243,1e-08,1e-08
9.49906191369606,1e-08,1e-08
9.548780487804878,1e-08,1e-08
9.598499061913696,1e-08,1e-08
9.648217636022514,1e-08,1e-08
9.697936210131331,1e-08,1e-08
9.74765478424015,1e-08,1e-08
9.797373358348969,1e-08,1e-08
9.847091932457786,1e-08,1e-08
9.896810506566604,1e-08,1e-08
9.946529080675422,1e-08,1e-08
9.99624765478424,1e-08,1e-08
10.045966228893057,1e-08,1e-08
10.095684803001877,1e-08,1e-08
10.145403377110695,1e-08,1e-08
10.195121951219512,1e-08,1e-08
10.24484052532833,1e-08,1e-08
10.294559099437148,1e-08,1e-08
10.344277673545966,1e-08,1e-08
10.393996247654785,1e-08,1e-08
10.443714821763603,1e-08,1e-08
10.49343339587242,1e-08,1e-08
10.543151969981238,1e-08,1e-08
10.592870544090056,1e-08,1e-08
10.642589118198874,1e-08,1e-08
10.692307692307692,1e-08,1e-08
10.742026266416511,1e-08,1e-08
10.791744840525329,1e-08,1e-08
10.841463414634147,1e-08,1e-08
10.891181988742964,1e-08,1e-08
10.940900562851782,1e-08,1e-08
10.9906191369606,1e-08,1e-08
11.040337711069418,1e-08,1e-08
11.090056285178237,1e-08,1e-08
11.139774859287055,1e-08,1e-08
11.189493433395873,1e-08,1e-08
11.23921200750469,1e-08,1e-08
11.288930581613508,1e-08,1e-08
11.338649155722326,1e-08,1e-08
11.388367729831145,1e-08,1e-08
11.438086303939963,1e-08,1e-08
11.487804878048781,1e-08,1e-08
11.537523452157599,1e-08,1e-08
11.587242026266416,1e-08,1e-08
11.636960600375234,1e-08,1e-08
11.686679174484052,1e-08,1e-08
11.736397748592871,1e-08,1e-08
11.78611632270169,1e-08,1e-08
11.835834896810507,1e-08,1e-08
11.885553470919325,1e-08,1e-08
11.935272045028142,1e-08,1e-08
11.98499061913696,1e-08,1e-08
12.034709193245778,1e-08,1e-08
12.084427767354597,1e-08,1e-08
12.134146341463415,1e-08,1e-08
12.183864915572233,1e-08,1e-08
12.23358348968105,1e-08,1e-08
12.283302063789868,1e-08,1e-08
12.333020637898686,1e-08,1e-08
12.382739212007504,1e-08,1e-08
12.432457786116323,1e-08,1e-08
12.482176360225141,1e-08,1e-08
12.531894934333959,1e-08,1e-08
12.581613508442777,1e-08,1e-08
12.631332082551594,1e-08,1e-08
12.681050656660412,1e-08,1e-08
12.730769230769232,1e-08,1e-08
12.78048780487805,1e-08,1e-08
12.830206378986867,1e-08,1e-08
12.879924953095685,1e-08,1e-08
12.929643527204503,1e-08,1e-08
12.97936210131332,1e-08,1e-08
13.029080675422138,1e-08,1e-08
13.078799249530958,1e-08,1e-08
13.128517823639775,1e-08,1e-08
13.178236397748593,1e-08,1e-08
13.227954971857411,1e-08,1e-08
13.277673545966229,1e-08,1e-08
13.327392120075046,1e-08,1e-08
13.377110694183864,1e-08,1e-08
13.426829268292684,1e-08,1e-08
13.476547842401501,1e-08,1e-08
13.52626641651032,1e-08,1e-08
13.575984990619137,1e-08,1e-08
13.625703564727955,1e-08,1e-08
13.675422138836772,1e-08,1e-08
13.72514071294559,1e-08,1e-08
13.77485928705441,1e-08,1e-08
13.824577861163228,1e-08,1e-08
13.874296435272045,1e-08,1e-08
13.924015009380863,1e-08,1e-08
13.97373358348968,1e-08,1e-08
14.023452157598499,1e-08,1e-08
14.073170731707318,1e-08,1e-08
14.122889305816136,1e-08,1e-08
14.172607879924954,1e-08,1e-08
14.222326454033771,1e-08,1e-08
